"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 31 19:31:46 WIB 2023","Fri Mar 31 19:31:46 WIB 2023","1","","form page: test chai form","","","","",""
"passed","Sun Apr 02 08:38:08 WIB 2023","Sun Apr 02 08:38:11 WIB 2023","3107","","form page: test chai form","","","","And I select search_category no_uji_kend and enter search no_uji AJ011001123 and press enter",""
"passed","Fri Mar 31 08:58:27 WIB 2023","Fri Mar 31 08:58:28 WIB 2023","151","","form page: test chai form","","","","And I enter nama_pemilik SAMSUL HUDA and alamat SEGODOREJO  RT 02/02 and no_telp -",""
"passed","Sun Apr 02 08:41:05 WIB 2023","Sun Apr 02 08:41:05 WIB 2023","2","","form page: test chai form","","","","",""
"passed","Fri Mar 31 08:48:50 WIB 2023","Fri Mar 31 08:48:50 WIB 2023","0","","form page: test chai form","","","","",""
"passed","Fri Mar 31 22:29:42 WIB 2023","Fri Mar 31 22:29:42 WIB 2023","1","","form page: test chai form","","","","And I enter nama_pemilik SAMSUL HUDA and alamat SEGODOREJO  RT 02/02 and no_telp -",""
"skipped","Fri Mar 31 19:27:36 WIB 2023","Fri Mar 31 19:27:36 WIB 2023","1","","form page: test chai form","","","","And I select jenis_pengujian 1 and kartu_uji 0",""
"passed","Fri Mar 31 22:30:12 WIB 2023","Fri Mar 31 22:30:12 WIB 2023","1","","form page: test chai form","","","","",""
"passed","Sun Apr 02 06:56:13 WIB 2023","Sun Apr 02 06:56:13 WIB 2023","0","","form page: test chai form","","","","And I enter nama_pemilik SAMSUL HUDA and alamat SEGODOREJO  RT 02/02 and no_telp -",""
"passed","Wed Mar 29 17:23:50 WIB 2023","Wed Mar 29 17:23:50 WIB 2023","31","","Home Page: Home page area","","","","Then I should see a header message with text Welcome to the-internet",""
